ProductName,FotoName,FotoCode,Quantity,Price,RetailPrice
Р-5145,Шотландка бирюзово-синяя,000001270,0,"600,00","1000,00"
Р-5192,ЭтноПолосы розово-беж,000002600,0,"780,00","1300,00"
Р-5192,ЭтноПолосы беж-бирюз-кирпич,000002598,"10,00","780,00","1300,00"
Р-5192,ЭтноПолосы коричн-бордо,000002599,"2,00","780,00","1300,00"
Р-5192,ЦветыВиола желт-корич,000002621,"10,00","780,00","1300,00"
Р-5192,ЦветыВиола голубые-беж,000002622,"10,00","780,00","1300,00"
Р-5192,Якорь бежевый,000003503,"3,00","780,00","1300,00"
Р-5192,Якорь серый,000003502,"7,00","780,00","1300,00"
Р-5222,Бежевый светлый,100004487,0,"2280,00","2700,00"
Р-5222,Крокодил Черный,100004498,"2,00","2280,00","2700,00"
Р-5222,Лазурный,100004499,"3,00","2280,00","2700,00"
Р-5222,Кофейный,100004494,0,"2280,00","2700,00"
Р-5222,Коричнево-рыжий,100004492,"1,00","2280,00","2700,00"
Р-5222,Фисташковый,100004502,0,"2280,00","2700,00"
Р-5222,Черный F,100004504,"2,00","2280,00","2700,00"
Р-5222,Черный,100004503,0,"2280,00","2700,00"
Р-5222,Красный,100004495,"2,00","2280,00","2700,00"
Р-5222,Бордо,100004489,"1,00","2280,00","2700,00"
Р-5222,Аттика Бордо,100004485,"2,00","2280,00","2700,00"
Р-5222,Желтый,100004491,"2,00","2280,00","2700,00"
Р-5222,Белый,100004488,"3,00","2280,00","2700,00"
Р-5222,Голубой,100004490,0,"2280,00","2700,00"
Р-5222,Аттика Коричневый тем,100004486,"4,00","2280,00","2700,00"
Р-5222,Крокодил Теракотовый,100004497,"2,00","2280,00","2700,00"
Р-5222,Сиреневый,100004501,"1,00","2280,00","2700,00"
Р-5222,Коричневый тем,100004493,"3,00","2280,00","2700,00"
Р-5222,Оливковый,100004500,"1,00","2280,00","2700,00"
Р-5222,Крокодил Белый,100004496,0,"2280,00","2700,00"
Р-5223,Аттика Бордо,100003434,"2,00","1680,00","2520,00"
Р-5223,Крокодил Черный,100003433,"4,00","1680,00","2520,00"
Р-5223,Аттика Коричневый тем,100003435,"7,00","1680,00","2520,00"
Р-5223,Черный,100003437,0,"1680,00","2520,00"
Р-5223,Голубой,100003440,0,"1680,00","2520,00"
Р-5223,Крокодил Белый,100003430,0,"1680,00","2520,00"
Р-5223,Красный,100003438,"6,00","1680,00","2520,00"
Р-5223,Белый,100003439,0,"1680,00","2520,00"
Р-5223,Бордо,100003441,0,"1680,00","2520,00"
Р-5223,Крокодил Серый,100003431,"3,00","1680,00","2520,00"
Р-5223,Крокодил Теракотовый,100003432,"10,00","1680,00","2520,00"
Р-5223,Бежевый светлый,100003524,0,"1680,00","2520,00"
Р-5223,Оливковый,100003528,0,"1680,00","2520,00"
Р-5223,Лазурный,100003527,"2,00","1680,00","2520,00"
Р-5223,Коричнево-рыжий,100003525,0,"1680,00","2520,00"
Р-5223,Бежевый темный,100003526,0,"1680,00","2520,00"
Р-5223,Желтый,100003531,"1,00","1680,00","2520,00"
