Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Москва";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Адрес видео на YouTube или Vimeo";"Дополнительные параметры";Пол;"Страна бренда";"Размеры ДхШхВ";Объем;Материал;Цвет;Вес;Бренд;"Отделение для ноутбука";"С рисунком";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Рюкзак Asgard Р-5080 Клетка серая";;Р-5080;RUB;2090;1;0;1320;10;10;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5080-kletka-gray;;;женский;Российские;"29 * 23 * 12 см";"6 л";Текстиль;{серый,11,11052710,12,19,};"0.4 кг";Asgard;;"В клетку";http://goldentrek.ru/wa-data/public/shop/products/06/31/3106/images/9978/9978.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/06/31/3106/images/9973/9973.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/06/31/3106/images/9974/9974.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/06/31/3106/images/9975/9975.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/06/31/3106/images/9976/9976.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/06/31/3106/images/9977/9977.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5081 Клетка бордовая";;Р-5081;RUB;2280;1;0;1440;10;10;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5081-kletka-bordo;;;женский;Российские;"31 * 25 * 14 см";"9 л";Текстиль;{красный,11,8,16711680,6,};"0.5 кг";Asgard;;"В клетку";http://goldentrek.ru/wa-data/public/shop/products/08/31/3108/images/9998/9998.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/08/31/3108/images/9996/9996.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/08/31/3108/images/9992/9992.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/08/31/3108/images/9994/9994.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/08/31/3108/images/9995/9995.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/08/31/3108/images/9993/9993.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/08/31/3108/images/9997/9997.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-5081 Клетка голубая";;Р-5081;RUB;2280;1;0;1440;7;7;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5081-kletka-blue;;;женский;Российские;"31 * 25 * 14 см";"9 л";Текстиль;{голубой,11,12,15,11397629,};"0.5 кг";Asgard;;"В клетку";http://goldentrek.ru/wa-data/public/shop/products/09/31/3109/images/10006/10006.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/09/31/3109/images/10000/10000.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/09/31/3109/images/10001/10001.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/09/31/3109/images/10002/10002.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/09/31/3109/images/10003/10003.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/09/31/3109/images/10004/10004.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/09/31/3109/images/10005/10005.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-5081 Клетка серая";;Р-5081;RUB;2280;1;0;1440;9;9;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5081-kletka-gray;;;женский;Российские;"31 * 25 * 14 см";"9 л";Текстиль;{серый,11,11052710,12,19,};"0.5 кг";Asgard;;"В клетку";http://goldentrek.ru/wa-data/public/shop/products/10/31/3110/images/10014/10014.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/10/31/3110/images/10008/10008.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/10/31/3110/images/10009/10009.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/10/31/3110/images/10010/10010.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/10/31/3110/images/10011/10011.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/10/31/3110/images/10012/10012.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/10/31/3110/images/10013/10013.970.jpg;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Газета беж-черная";;Р-5131;RUB;1200;1;0;720;7;7;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-gaz-bej-bla;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{бежевый,серый,черный,11,11052710,12,19,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/16/31/3116/images/10039/10039.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/16/31/3116/images/10038/10038.970.jpg;;;;;;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Горох розовый";;Р-5131;RUB;1200;1;0;720;10;10;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-gor-ros;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{розовый,11,10,16730613,7,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/23/31/3123/images/10060/10060.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/23/31/3123/images/10059/10059.970.jpg;;;;;;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Горох серый";;Р-5131;RUB;1200;1;0;720;8;8;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-gor-gra;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{серый,11,11052710,12,19,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/18/31/3118/images/10045/10045.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/18/31/3118/images/10044/10044.970.jpg;;;;;;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Звезды синие-серые";;Р-5131;RUB;1200;1;0;720;0;0;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-stars-blu-gray;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{синий,серый,11,Сапфировый,9,14,255,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/25/31/3125/images/10066/10066.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/25/31/3125/images/10065/10065.970.jpg;;;;;;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Клетка2 черн-фиол-роз-бир";;Р-5131;RUB;1200;1;0;720;5;5;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-kletka-bla-vio-ros;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{розовый,голубой,фиолетовый,черный,разноцветный,11,14,16777215,21,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/11/31/3111/images/10023/10023.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/11/31/3111/images/10022/10022.970.jpg;;;;;;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Клетка4 гол-зел-жел-крас";;Р-5131;RUB;1200;1;0;720;10;10;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-kle4-blu-yel-red;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{желтый,красный,голубой,зеленый,разноцветный,11,14,16777215,21,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/15/31/3115/images/10036/10036.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/15/31/3115/images/10035/10035.970.jpg;;;;;;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Клетка5 черн-малиново-серая";;Р-5131;RUB;1200;1;0;720;7;7;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-kle5-bla-mal-gray;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{красный,серый,черный,разноцветный,11,14,16777215,21,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/13/31/3113/images/10030/10030.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/13/31/3113/images/10028/10028.970.jpg;;;;;;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Леопард коричневый";;Р-5131;RUB;1200;1;0;725;0;0;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-leo-bro;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{коричневый,11,9849600,8,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/24/31/3124/images/10063/10063.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/24/31/3124/images/10062/10062.970.jpg;;;;;;;;;;;;;;;;
"Рюкзак Asgard Р-5131 Огурцы голубые";;Р-5131;RUB;1200;1;0;720;4;4;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5131-ogu-blu;;;женский;Российские;"33 * 25 * 10 см";"7 л";Полиэстер;{голубой,11,12,15,11397629,};"0.5 кг";Asgard;;;http://goldentrek.ru/wa-data/public/shop/products/20/31/3120/images/10051/10051.970.jpg;http://goldentrek.ru/wa-data/public/shop/products/20/31/3120/images/10050/10050.970.jpg;;;;;;;;;;;;;;;;
